locationID,entryDate,maxTemp,minTemp,daylightDuration,sunlightDuration,rainInches,snowInches,precipitationHours,windGusts,averageTemp,cloudCover,averageWindSpeed,averageHumidity
0,2023-01-01,54.8,46.7,33648.96,32341.26,0.260,0.000,7.0,23.3,50.6,40,9.4,89
0,2023-01-02,55.0,41.2,33693.41,21871.00,0.000,0.000,0.0,15.9,46.6,71,5.8,83
0,2023-01-03,58.8,45.2,33741.84,359.53,0.236,0.000,9.0,24.6,50.8,100,7.0,93
0,2023-01-04,62.8,53.9,33794.13,21463.43,0.063,0.000,3.0,26.6,57.9,99,9.1,91
0,2023-01-05,57.3,46.0,33850.17,260.47,0.059,0.000,1.0,18.6,51.6,94,6.8,98
0,2023-01-06,46.7,43.0,33909.84,14973.37,0.252,0.000,10.0,19.5,44.6,80,6.4,91
0,2023-01-07,46.0,34.7,33973.03,19534.61,0.000,0.000,0.0,23.5,40.3,44,10.5,70
0,2023-01-08,41.6,32.7,34039.62,30961.17,0.000,0.000,0.0,20.1,37.0,35,7.6,71
0,2023-01-09,44.7,36.3,34109.49,24886.73,0.059,0.028,6.0,22.4,39.2,63,7.5,79
0,2023-01-10,43.2,33.3,34182.54,18314.21,0.000,0.000,0.0,23.0,38.1,50,9.0,68
0,2023-01-11,39.7,34.3,34258.65,25655.78,0.000,0.000,0.0,21.5,37.4,85,7.3,71
0,2023-01-12,50.3,37.4,34337.70,3600.00,0.063,0.000,5.0,28.2,43.6,85,8.9,84
0,2023-01-13,55.9,42.1,34419.57,4238.17,0.024,0.000,4.0,38.0,52.1,100,14.5,84
0,2023-01-14,39.8,33.8,34504.17,0.00,0.000,0.000,0.0,35.3,35.8,100,15.1,62
0,2023-01-15,41.0,30.7,34591.37,31751.25,0.000,0.000,0.0,42.5,34.3,63,18.5,59
0,2023-01-16,45.3,29.9,34681.06,32059.89,0.000,0.000,0.0,33.1,35.6,17,13.3,45
0,2023-01-17,46.0,32.1,34773.13,11300.56,0.047,0.000,2.0,25.1,38.3,73,7.2,53
0,2023-01-18,50.9,39.7,34867.66,24750.62,0.000,0.000,0.0,32.9,44.7,48,11.3,79
0,2023-01-19,45.3,38.4,34965.71,0.00,0.323,0.000,12.0,25.5,41.3,91,8.2,88
0,2023-01-20,47.7,39.5,35067.26,29482.72,0.417,0.000,5.0,43.2,43.2,75,13.4,83
0,2023-01-21,43.0,35.1,35172.14,29305.64,0.004,0.000,1.0,28.4,39.5,45,11.0,65
0,2023-01-22,42.7,28.9,35280.16,12792.70,0.028,0.000,2.0,24.4,35.6,73,4.6,78
0,2023-01-23,39.2,36.4,35391.15,0.00,0.622,0.028,22.0,30.0,37.9,100,12.1,97
0,2023-01-24,45.0,32.4,35504.92,34841.98,0.000,0.000,0.0,31.8,37.7,37,13.0,64
0,2023-01-25,45.3,30.6,35621.29,0.00,0.154,0.000,6.0,38.7,37.6,98,9.0,77
0,2023-01-26,52.9,42.8,35740.11,35074.64,0.748,0.000,12.0,49.0,47.5,62,18.8,78
0,2023-01-27,42.5,32.8,35861.17,25647.59,0.000,0.000,0.0,29.8,38.3,28,9.6,63
0,2023-01-28,51.1,32.0,35984.33,29053.83,0.000,0.000,0.0,32.9,40.0,42,9.3,61
0,2023-01-29,50.6,35.4,36109.42,7014.84,0.000,0.000,0.0,26.6,43.7,82,9.2,68
0,2023-01-30,51.3,39.1,36236.28,25733.14,0.000,0.000,0.0,21.0,44.5,66,6.4,85
0,2023-01-31,45.1,35.5,36364.74,0.00,0.091,0.110,12.0,27.5,39.8,84,7.2,85
0,2023-02-01,37.5,28.5,36494.66,32400.00,0.000,0.386,6.0,21.5,33.4,67,7.0,69
0,2023-02-02,39.4,25.1,36625.87,32539.96,0.000,0.000,0.0,20.4,32.6,73,6.0,62
0,2023-02-03,34.6,20.8,36758.23,35510.05,0.000,0.000,0.0,48.8,29.1,63,16.7,51
0,2023-02-04,26.1,6.8,36891.59,35571.00,0.000,0.000,0.0,53.2,16.6,17,15.3,41
0,2023-02-05,49.7,23.6,37025.80,27794.96,0.000,0.000,0.0,24.4,34.3,82,10.1,48
0,2023-02-06,48.1,35.0,37160.73,32096.58,0.000,0.000,0.0,32.4,41.0,54,10.0,72
0,2023-02-07,39.9,29.0,37296.48,25041.42,0.000,0.000,0.0,32.2,34.5,47,9.1,74
0,2023-02-08,50.9,36.8,37434.34,35928.51,0.031,0.000,2.0,24.2,41.9,40,8.2,77
0,2023-02-09,51.6,32.8,37574.39,1447.86,0.000,0.000,0.0,28.4,42.4,87,8.0,76
0,2023-02-10,59.2,48.0,37716.47,35967.38,0.000,0.000,0.0,36.0,54.9,63,16.3,68
0,2023-02-11,46.2,35.7,37860.41,36306.15,0.000,0.000,0.0,31.3,41.3,28,11.4,56
0,2023-02-12,42.8,33.4,38006.06,5871.50,0.004,0.000,1.0,14.8,37.9,100,4.7,76
0,2023-02-13,54.7,38.8,38153.25,36228.89,0.087,0.028,8.0,32.7,43.7,65,12.2,59
0,2023-02-14,51.0,38.8,38301.84,36507.65,0.000,0.000,0.0,31.5,44.9,4,12.1,50
0,2023-02-15,61.5,40.6,38451.66,28951.95,0.000,0.000,0.0,30.0,48.7,87,10.4,64
0,2023-02-16,64.1,49.2,38602.58,21994.88,0.224,0.000,3.0,27.7,56.3,95,9.7,69
